B	amplitude
T	a.u.
6,58	0,00463126275065042
6,583	0,00676021058894273
6,586	0,00642143023929636
6,589	0,00487968598979423
6,592	0,00710990838919904
6,595	0,00983406661273303
6,598	0,010536004613976
6,601	0,0130765973399052
6,604	0,0208781950792918
6,607	0,0347743981124338
6,61	0,0443498999678425
6,613	0,0619615112307389
6,616	0,0885750946522157
6,619	0,114158876132195
6,622	0,154788421184964
6,625	0,192730237722361
6,628	0,251534701733348
6,631	0,311284662555612
6,634	0,372737915898075
6,637	0,439484395331451
6,64	0,490812599605074
6,643	0,545676476632228
6,646	0,588040941619628
6,649	0,637484887374313
6,652	0,678521715259154
6,655	0,728471745261351
6,658	0,779137711482044
6,661	0,835383935221975
6,664	0,889722395850427
6,667	0,944151918465728
6,67	0,979459904032468
6,673	0,996969785525062
6,676	1
6,679	0,977088493505131
6,682	0,923997387805255
6,685	0,858478228270931
6,688	0,759235220801283
6,691	0,662934906832801
6,694	0,559109088390854
6,697	0,459159389085075
6,7	0,384283228078104
6,703	0,319439833142275
6,706	0,275029865147586
6,709	0,236334701687466
6,712	0,200053941568531
6,715	0,173541873989299
6,718	0,140616241586722
6,721	0,117776380138608
6,724	0,0891867953392915
6,727	0,0703014833813041
6,73	0,0482964361046594
6,733	0,0345625703039371
6,736	0,0228276629337104
6,739	0,012054003243073
6,742	0,00582445031838223
6,745	0,0049249938811876
6,748	0,0057729250337721
6,751	0,00369694521406131
6,754	0,00332348949577279
6,757	0,00427189181140181
6,76	0,00575981995630978
6,763	0,00646483599451651
6,766	0,0051262655698108
6,769	0,00401637168764685
6,772	0,0059725537931857
